Priority,use_nAChR_at_da,use_d2r_at_da,use_d1r_at_ach,use_d2r_at_ach,da_activation,ach_activation
1,True,True,True,True,const,const
2,True,True,True,True,const,none
3,True,True,True,True,none,const
4,False,True,True,True,none,const
5,True,False,True,True,none,const
6,True,True,False,True,none,const
7,True,True,True,False,none,const
8,True,False,True,False,none,const
